"행정구역","2023년12월_계_총인구수","2023년12월_계_연령구간인구수","2023년12월_계_0~9세","2023년12월_계_10~19세","2023년12월_계_20~29세","2023년12월_계_30~39세","2023년12월_계_40~49세","2023년12월_계_50~59세","2023년12월_계_60~69세","2023년12월_계_70~79세","2023년12월_계_80~89세","2023년12월_계_90~99세","2023년12월_계_100세 이상","2023년12월_남_총인구수","2023년12월_남_연령구간인구수","2023년12월_남_0~9세","2023년12월_남_10~19세","2023년12월_남_20~29세","2023년12월_남_30~39세","2023년12월_남_40~49세","2023년12월_남_50~59세","2023년12월_남_60~69세","2023년12월_남_70~79세","2023년12월_남_80~89세","2023년12월_남_90~99세","2023년12월_남_100세 이상","2023년12월_여_총인구수","2023년12월_여_연령구간인구수","2023년12월_여_0~9세","2023년12월_여_10~19세","2023년12월_여_20~29세","2023년12월_여_30~39세","2023년12월_여_40~49세","2023년12월_여_50~59세","2023년12월_여_60~69세","2023년12월_여_70~79세","2023년12월_여_80~89세","2023년12월_여_90~99세","2023년12월_여_100세 이상"
"울산광역시  (3100000000)","1,103,661","1,103,661","79,086","109,462","122,522","136,909","178,114","204,814","169,307","71,586","28,057","3,725","79","567,153","567,153","40,621","57,056","69,651","74,334","91,773","102,900","85,401","34,534","10,146","728","9","536,508","536,508","38,465","52,406","52,871","62,575","86,341","101,914","83,906","37,052","17,911","2,997","70"
"울산광역시 중구 (3111000000)","208,668","208,668","13,551","19,182","21,844","24,464","31,529","38,995","35,222","16,621","6,457","790","13","105,547","105,547","6,988","10,140","12,323","13,145","16,130","19,299","17,169","7,747","2,446","159","1","103,121","103,121","6,563","9,042","9,521","11,319","15,399","19,696","18,053","8,874","4,011","631","12"
"울산광역시 남구 (3114000000)","307,232","307,232","19,890","28,168","38,462","40,437","46,788","59,088","47,028","19,465","7,073","822","11","156,729","156,729","10,230","14,759","21,567","22,110","23,443","29,147","23,339","9,308","2,653","172","1","150,503","150,503","9,660","13,409","16,895","18,327","23,345","29,941","23,689","10,157","4,420","650","10"
"울산광역시 동구 (3117000000)","152,287","152,287","11,511","16,072","15,456","18,929","26,984","24,339","24,842","10,503","3,249","387","15","79,411","79,411","5,853","8,463","8,724","10,517","14,633","12,493","12,105","5,329","1,221","70","3","72,876","72,876","5,658","7,609","6,732","8,412","12,351","11,846","12,737","5,174","2,028","317","12"
"울산광역시 북구 (3120000000)","216,477","216,477","20,365","24,718","23,481","29,927","39,323","38,893","26,417","9,080","3,706","553","14","112,115","112,115","10,450","12,714","13,738","15,942","20,195","19,313","14,025","4,398","1,237","102","1","104,362","104,362","9,915","12,004","9,743","13,985","19,128","19,580","12,392","4,682","2,469","451","13"
"울산광역시 울주군 (3171000000)","218,997","218,997","13,769","21,322","23,279","23,152","33,490","43,499","35,798","15,917","7,572","1,173","26","113,351","113,351","7,100","10,980","13,299","12,620","17,372","22,648","18,763","7,752","2,589","225","3","105,646","105,646","6,669","10,342","9,980","10,532","16,118","20,851","17,035","8,165","4,983","948","23"
"세종특별자치시  (3600000000)","386,525","386,525","43,541","50,736","37,810","59,340","77,183","54,433","37,233","16,478","8,234","1,494","43","192,524","192,524","22,122","25,585","19,199","29,268","38,244","28,501","18,533","7,793","2,972","302","5","194,001","194,001","21,419","25,151","18,611","30,072","38,939","25,932","18,700","8,685","5,262","1,192","38"
"세종특별자치시  (3611000000)","386,525","386,525","43,541","50,736","37,810","59,340","77,183","54,433","37,233","16,478","8,234","1,494","43","192,524","192,524","22,122","25,585","19,199","29,268","38,244","28,501","18,533","7,793","2,972","302","5","194,001","194,001","21,419","25,151","18,611","30,072","38,939","25,932","18,700","8,685","5,262","1,192","38"
"경기도  (4100000000)","13,630,821","13,630,821","989,550","1,320,631","1,682,138","1,878,734","2,256,931","2,335,999","1,831,793","847,103","423,029","63,061","1,852","6,855,895","6,855,895","506,358","675,747","885,110","979,572","1,150,795","1,177,701","914,132","391,368","159,419","15,304","389","6,774,926","6,774,926","483,192","644,884","797,028","899,162","1,106,136","1,158,298","917,661","455,735","263,610","47,757","1,463"
"북부출장소  (4110500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 수원시 (4111000000)","1,197,257","1,197,257","82,636","113,383","175,839","184,342","195,012","202,330","146,108","62,753","30,244","4,483","127","602,346","602,346","42,604","58,401","91,671","97,691","98,566","100,280","72,503","28,434","11,090","1,080","26","594,911","594,911","40,032","54,982","84,168","86,651","96,446","102,050","73,605","34,319","19,154","3,403","101"
"경기도 수원시 장안구 (4111100000)","270,849","270,849","15,171","26,211","40,724","33,585","41,002","49,885","36,970","16,909","8,973","1,378","41","136,145","136,145","7,724","13,536","22,271","17,982","20,345","24,714","18,336","7,545","3,364","319","9","134,704","134,704","7,447","12,675","18,453","15,603","20,657","25,171","18,634","9,364","5,609","1,059","32"
"경기도 수원시 권선구 (4111300000)","366,167","366,167","25,476","32,358","49,920","57,315","59,602","62,539","48,626","20,039","8,919","1,345","28","184,970","184,970","13,212","16,623","25,802","30,690","30,920","30,775","24,155","9,230","3,232","327","4","181,197","181,197","12,264","15,735","24,118","26,625","28,682","31,764","24,471","10,809","5,687","1,018","24"
"경기도 수원시 팔달구 (4111500000)","197,213","197,213","11,737","14,079","30,338","32,305","28,749","32,690","26,876","13,234","6,346","831","28","99,290","99,290","6,044","7,290","15,345","17,499","14,981","16,554","13,055","5,985","2,321","210","6","97,923","97,923","5,693","6,789","14,993","14,806","13,768","16,136","13,821","7,249","4,025","621","22"
"경기도 수원시 영통구 (4111700000)","363,028","363,028","30,252","40,735","54,857","61,137","65,659","57,216","33,636","12,571","6,006","929","30","181,941","181,941","15,624","20,952","28,253","31,520","32,320","28,237","16,957","5,674","2,173","224","7","181,087","181,087","14,628","19,783","26,604","29,617","33,339","28,979","16,679","6,897","3,833","705","23"
"경기도 성남시 (4113000000)","919,747","919,747","60,026","83,353","116,584","134,145","147,372","154,797","126,893","62,339","29,497","4,602","139","455,137","455,137","30,487","42,599","59,731","68,888","73,058","77,007","62,064","28,486","11,615","1,167","35","464,610","464,610","29,539","40,754","56,853","65,257","74,314","77,790","64,829","33,853","17,882","3,435","104"
"경기도 성남시 수정구 (4113100000)","235,942","235,942","14,310","16,448","30,868","36,087","35,299","39,498","36,360","18,348","7,704","987","33","119,496","119,496","7,186","8,392","16,265","19,290","18,681","20,294","17,907","8,345","2,903","230","3","116,446","116,446","7,124","8,056","14,603","16,797","16,618","19,204","18,453","10,003","4,801","757","30"
"경기도 성남시 중원구 (4113300000)","210,848","210,848","12,044","14,868","27,048","32,100","31,091","35,761","33,744","16,299","7,015","849","29","106,515","106,515","6,048","7,669","14,036","17,346","16,367","18,060","16,604","7,498","2,701","177","9","104,333","104,333","5,996","7,199","13,012","14,754","14,724","17,701","17,140","8,801","4,314","672","20"
"경기도 성남시 분당구 (4113500000)","472,957","472,957","33,672","52,037","58,668","65,958","80,982","79,538","56,789","27,692","14,778","2,766","77","229,126","229,126","17,253","26,538","29,430","32,252","38,010","38,653","27,553","12,643","6,011","760","23","243,831","243,831","16,419","25,499","29,238","33,706","42,972","40,885","29,236","15,049","8,767","2,006","54"
"경기도 의정부시 (4115000000)","464,213","464,213","30,270","40,369","59,680","60,343","71,137","82,385","67,316","33,275","17,101","2,263","74","228,163","228,163","15,664","20,658","30,004","30,993","36,201","40,306","32,560","14,746","6,460","559","12","236,050","236,050","14,606","19,711","29,676","29,350","34,936","42,079","34,756","18,529","10,641","1,704","62"
"경기도 안양시 (4117000000)","544,660","544,660","35,412","48,471","68,147","78,448","82,828","95,037","81,458","35,598","16,541","2,664","56","268,911","268,911","18,001","25,035","35,284","40,495","41,262","45,970","39,486","16,693","6,064","613","8","275,749","275,749","17,411","23,436","32,863","37,953","41,566","49,067","41,972","18,905","10,477","2,051","48"
"경기도 안양시 만안구 (4117100000)","230,664","230,664","13,243","16,611","29,339","32,527","32,303","40,752","38,331","18,024","8,297","1,210","27","115,122","115,122","6,628","8,645","15,276","17,209","16,851","19,937","18,711","8,485","3,098","282","0","115,542","115,542","6,615","7,966","14,063","15,318","15,452","20,815","19,620","9,539","5,199","928","27"
"경기도 안양시 동안구 (4117300000)","313,996","313,996","22,169","31,860","38,808","45,921","50,525","54,285","43,127","17,574","8,244","1,454","29","153,789","153,789","11,373","16,390","20,008","23,286","24,411","26,033","20,775","8,208","2,966","331","8","160,207","160,207","10,796","15,470","18,800","22,635","26,114","28,252","22,352","9,366","5,278","1,123","21"
"경기도 부천시 (4119000000)","779,968","779,968","45,444","64,437","98,528","106,793","118,285","139,754","127,004","52,652","23,371","3,592","108","385,531","385,531","23,294","32,975","50,546","55,192","59,950","67,807","61,797","24,871","8,294","791","14","394,437","394,437","22,150","31,462","47,982","51,601","58,335","71,947","65,207","27,781","15,077","2,801","94"
"경기도 광명시 (4121000000)","280,197","280,197","18,632","28,172","33,150","36,706","46,273","48,513","40,077","18,794","8,598","1,237","45","137,512","137,512","9,484","14,390","17,107","18,821","22,679","24,012","19,093","8,592","3,056","268","10","142,685","142,685","9,148","13,782","16,043","17,885","23,594","24,501","20,984","10,202","5,542","969","35"
"경기도 평택시 (4122000000)","591,022","591,022","48,443","56,196","76,968","92,619","100,863","98,139","68,170","30,700","16,572","2,291","61","310,473","310,473","24,598","28,704","43,373","52,172","54,583","51,792","34,848","13,834","5,999","557","13","280,549","280,549","23,845","27,492","33,595","40,447","46,280","46,347","33,322","16,866","10,573","1,734","48"
"경기도 송탄출장소 (4122200000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 안중출장소 (4122400000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 동두천시 (4125000000)","88,626","88,626","4,521","7,788","9,650","8,855","12,232","16,052","14,931","8,610","5,277","693","17","44,198","44,198","2,358","3,900","5,206","4,724","6,283","8,420","7,506","3,691","1,928","180","2","44,428","44,428","2,163","3,888","4,444","4,131","5,949","7,632","7,425","4,919","3,349","513","15"
"경기도 안산시 (4127000000)","629,308","629,308","35,228","56,041","93,690","82,516","94,048","125,407","90,169","32,683","16,780","2,663","83","322,328","322,328","17,982","28,807","49,863","45,216","49,006","62,833","47,124","15,206","5,702","572","17","306,980","306,980","17,246","27,234","43,827","37,300","45,042","62,574","43,045","17,477","11,078","2,091","66"
"경기도 안산시 상록구 (4127100000)","334,867","334,867","17,826","30,111","50,843","41,705","49,602","67,794","47,802","17,889","9,718","1,521","56","170,723","170,723","9,128","15,383","27,004","22,863","25,645","33,888","24,986","8,170","3,289","356","11","164,144","164,144","8,698","14,728","23,839","18,842","23,957","33,906","22,816","9,719","6,429","1,165","45"
"경기도 안산시 단원구 (4127300000)","294,441","294,441","17,402","25,930","42,847","40,811","44,446","57,613","42,367","14,794","7,062","1,142","27","151,605","151,605","8,854","13,424","22,859","22,353","23,361","28,945","22,138","7,036","2,413","216","6","142,836","142,836","8,548","12,506","19,988","18,458","21,085","28,668","20,229","7,758","4,649","926","21"
"경기도 고양시 (4128000000)","1,074,907","1,074,907","70,336","98,947","134,406","143,591","168,583","198,739","149,416","65,239","39,350","6,149","151","524,368","524,368","35,825","50,342","68,108","71,752","82,387","96,316","74,764","28,942","14,258","1,633","41","550,539","550,539","34,511","48,605","66,298","71,839","86,196","102,423","74,652","36,297","25,092","4,516","110"
"경기도 고양시 덕양구 (4128100000)","496,438","496,438","35,940","41,413","58,770","72,872","78,922","85,915","69,326","32,390","18,179","2,651","60","244,063","244,063","18,291","21,035","29,781","36,578","39,848","42,321","34,481","14,408","6,658","645","17","252,375","252,375","17,649","20,378","28,989","36,294","39,074","43,594","34,845","17,982","11,521","2,006","43"
"경기도 고양시 일산동구 (4128500000)","291,597","291,597","17,060","27,372","38,797","37,031","45,369","56,352","40,944","16,531","10,278","1,813","50","141,346","141,346","8,725","13,970","19,379","18,326","21,666","27,039","20,627","7,433","3,667","498","16","150,251","150,251","8,335","13,402","19,418","18,705","23,703","29,313","20,317","9,098","6,611","1,315","34"
"경기도 고양시 일산서구 (4128700000)","286,872","286,872","17,336","30,162","36,839","33,688","44,292","56,472","39,146","16,318","10,893","1,685","41","138,959","138,959","8,809","15,337","18,948","16,848","20,873","26,956","19,656","7,101","3,933","490","8","147,913","147,913","8,527","14,825","17,891","16,840","23,419","29,516","19,490","9,217","6,960","1,195","33"
"경기도 과천시 (4129000000)","81,000","81,000","7,995","7,890","9,503","12,022","12,474","13,229","10,600","4,448","2,385","445","9","39,687","39,687","4,108","4,013","4,873","5,886","6,097","6,354","5,238","2,073","920","122","3","41,313","41,313","3,887","3,877","4,630","6,136","6,377","6,875","5,362","2,375","1,465","323","6"
"경기도 구리시 (4131000000)","187,093","187,093","11,817","16,744","23,177","23,913","29,694","34,526","28,040","12,506","5,899","754","23","92,559","92,559","6,058","8,671","11,768","12,191","14,939","16,798","13,977","5,706","2,243","201","7","94,534","94,534","5,759","8,073","11,409","11,722","14,755","17,728","14,063","6,800","3,656","553","16"
"경기도 남양주시 (4136000000)","732,265","732,265","54,337","79,299","81,665","85,052","128,329","127,403","98,255","50,512","24,017","3,269","127","363,190","363,190","27,914","40,687","42,285","42,494","63,627","64,631","48,239","23,129","9,385","775","24","369,075","369,075","26,423","38,612","39,380","42,558","64,702","62,772","50,016","27,383","14,632","2,494","103"
"경기도 풍양출장소 (4136200000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 오산시 (4137000000)","229,656","229,656","18,139","25,482","28,851","34,992","44,413","36,503","24,599","10,845","5,154","668","10","119,722","119,722","9,233","13,097","15,779","19,395","23,834","19,141","12,288","4,883","1,924","147","1","109,934","109,934","8,906","12,385","13,072","15,597","20,579","17,362","12,311","5,962","3,230","521","9"
"경기도 시흥시 (4139000000)","519,715","519,715","43,910","51,516","64,220","76,407","93,191","92,668","62,438","22,604","11,021","1,689","51","271,236","271,236","22,289","26,337","34,949","41,133","50,303","48,260","33,168","10,666","3,772","353","6","248,479","248,479","21,621","25,179","29,271","35,274","42,888","44,408","29,270","11,938","7,249","1,336","45"
"경기도 군포시 (4141000000)","261,229","261,229","15,408","23,938","33,421","35,657","39,333","47,043","39,626","16,489","8,776","1,492","46","129,573","129,573","7,927","12,357","17,471","18,894","19,488","22,974","19,209","7,640","3,217","385","11","131,656","131,656","7,481","11,581","15,950","16,763","19,845","24,069","20,417","8,849","5,559","1,107","35"
"경기도 의왕시 (4143000000)","158,870","158,870","11,620","13,402","19,759","22,979","22,715","27,898","24,751","10,072","4,803","844","27","78,829","78,829","6,023","6,881","10,373","11,795","11,482","13,311","12,091","4,885","1,792","192","4","80,041","80,041","5,597","6,521","9,386","11,184","11,233","14,587","12,660","5,187","3,011","652","23"
"경기도 하남시 (4145000000)","329,861","329,861","30,685","31,773","35,977","51,573","61,110","48,250","41,700","20,089","7,495","1,166","43","164,202","164,202","15,744","16,025","17,889","25,533","31,390","24,445","20,080","9,906","2,948","236","6","165,659","165,659","14,941","15,748","18,088","26,040","29,720","23,805","21,620","10,183","4,547","930","37"
"경기도 용인시 (4146000000)","1,075,566","1,075,566","81,223","120,355","132,631","133,020","190,127","183,137","123,235","70,868","35,730","5,102","138","533,387","533,387","41,477","61,540","69,357","66,991","93,478","91,912","60,368","31,526","15,262","1,446","30","542,179","542,179","39,746","58,815","63,274","66,029","96,649","91,225","62,867","39,342","20,468","3,656","108"
"경기도 용인시 처인구 (4146100000)","261,488","261,488","17,293","24,728","32,807","32,165","42,678","45,901","37,545","18,145","8,809","1,384","33","134,289","134,289","8,866","12,801","17,984","17,462","22,364","23,635","19,039","8,516","3,297","321","4","127,199","127,199","8,427","11,927","14,823","14,703","20,314","22,266","18,506","9,629","5,512","1,063","29"
"경기도 용인시 기흥구 (4146300000)","436,656","436,656","32,651","50,015","55,201","52,410","77,672","75,559","47,834","28,453","14,669","2,122","70","215,218","215,218","16,723","25,548","28,793","26,320","37,734","37,649","23,052","12,423","6,325","634","17","221,438","221,438","15,928","24,467","26,408","26,090","39,938","37,910","24,782","16,030","8,344","1,488","53"
"경기도 용인시 수지구 (4146500000)","377,422","377,422","31,279","45,612","44,623","48,445","69,777","61,677","37,856","24,270","12,252","1,596","35","183,880","183,880","15,888","23,191","22,580","23,209","33,380","30,628","18,277","10,587","5,640","491","9","193,542","193,542","15,391","22,421","22,043","25,236","36,397","31,049","19,579","13,683","6,612","1,105","26"
"경기도 파주시 (4148000000)","497,753","497,753","40,067","51,856","56,512","69,216","84,109","82,770","61,802","31,019","17,725","2,606","71","252,159","252,159","20,516","26,318","30,671","36,066","43,298","42,926","31,116","13,957","6,615","658","18","245,594","245,594","19,551","25,538","25,841","33,150","40,811","39,844","30,686","17,062","11,110","1,948","53"
"경기도 이천시 (4150000000)","222,098","222,098","15,505","21,877","28,876","30,294","34,510","36,450","31,178","14,526","7,729","1,123","30","115,622","115,622","8,015","11,262","16,521","16,675","18,041","18,964","16,040","6,921","2,876","299","8","106,476","106,476","7,490","10,615","12,355","13,619","16,469","17,486","15,138","7,605","4,853","824","22"
"경기도 안성시 (4155000000)","189,034","189,034","11,213","17,415","22,134","21,541","29,265","32,821","29,709","15,166","8,422","1,311","37","97,738","97,738","5,813","9,024","12,195","11,962","15,677","17,419","15,118","7,202","3,020","303","5","91,296","91,296","5,400","8,391","9,939","9,579","13,588","15,402","14,591","7,964","5,402","1,008","32"
"경기도 김포시 (4157000000)","486,172","486,172","45,831","53,091","49,355","66,699","94,373","72,951","58,601","29,836","13,436","1,945","54","242,801","242,801","23,523","26,948","25,404","32,744","48,303","37,274","28,866","13,984","5,279","460","16","243,371","243,371","22,308","26,143","23,951","33,955","46,070","35,677","29,735","15,852","8,157","1,485","38"
"경기도 화성시 (4159000000)","944,342","944,342","95,153","110,022","110,981","155,558","183,476","138,446","91,282","38,675","17,892","2,777","80","490,518","490,518","48,649","55,946","60,088","82,233","96,641","74,052","47,177","18,443","6,678","597","14","453,824","453,824","46,504","54,076","50,893","73,325","86,835","64,394","44,105","20,232","11,214","2,180","66"
"경기도 화성시동부출장소 (4159200000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 화성시동탄출장소 (4159400000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 광주시 (4161000000)","391,377","391,377","29,868","35,005","41,450","52,357","68,498","68,090","57,445","26,102","11,014","1,491","57","199,601","199,601","15,318","17,883","22,049","27,357","36,057","34,842","28,667","12,685","4,403","327","13","191,776","191,776","14,550","17,122","19,401","25,000","32,441","33,248","28,778","13,417","6,611","1,164","44"
"경기도 양주시 (4163000000)","268,026","268,026","21,638","26,848","29,681","34,043","43,977","45,437","36,854","18,725","9,410","1,359","54","135,376","135,376","11,013","13,648","15,761","17,589","22,551","23,539","18,569","8,766","3,612","312","16","132,650","132,650","10,625","13,200","13,920","16,454","21,426","21,898","18,285","9,959","5,798","1,047","38"
"경기도 포천시 (4165000000)","143,323","143,323","6,646","10,499","16,074","13,767","17,319","27,974","29,240","13,085","7,552","1,129","38","75,837","75,837","3,464","5,514","9,147","7,796","9,329","15,234","15,963","6,401","2,709","269","11","67,486","67,486","3,182","4,985","6,927","5,971","7,990","12,740","13,277","6,684","4,843","860","27"
"경기도 여주시 (4167000000)","114,412","114,412","6,231","9,285","11,209","11,324","15,462","20,384","21,741","11,477","6,272","994","33","58,177","58,177","3,186","4,866","6,086","6,069","7,901","10,657","11,131","5,629","2,422","226","4","56,235","56,235","3,045","4,419","5,123","5,255","7,561","9,727","10,610","5,848","3,850","768","29"
"경기도 연천군 (4180000000)","41,584","41,584","2,071","2,832","4,498","3,976","4,342","6,579","8,632","4,942","3,240","459","13","21,776","21,776","1,054","1,474","2,849","2,345","2,338","3,557","4,525","2,343","1,157","130","4","19,808","19,808","1,017","1,358","1,649","1,631","2,004","3,022","4,107","2,599","2,083","329","9"
"경기도 가평군 (4182000000)","62,302","62,302","2,763","4,349","5,700","5,437","7,459","10,845","13,605","7,427","4,091","607","19","32,137","32,137","1,409","2,213","3,292","3,006","3,971","5,778","7,043","3,634","1,616","169","6","30,165","30,165","1,354","2,136","2,408","2,431","3,488","5,067","6,562","3,793","2,475","438","13"
"경기도 양평군 (4183000000)","125,238","125,238","6,482","9,996","9,822","10,549","16,122","21,442","26,918","15,047","7,635","1,194","31","62,801","62,801","3,328","5,232","5,410","5,474","8,075","10,890","13,514","7,494","3,103","277","4","62,437","62,437","3,154","4,764","4,412","5,075","8,047","10,552","13,404","7,553","4,532","917","27"
"강원특별자치도  (5100000000)","1,527,807","1,527,807","90,872","129,053","163,610","158,594","208,819","262,513","275,323","141,876","84,135","12,622","390","768,449","768,449","46,463","66,935","91,639","84,692","106,310","135,485","138,020","65,495","30,543","2,775","92","759,358","759,358","44,409","62,118","71,971","73,902","102,509","127,028","137,303","76,381","53,592","9,847","298"
"동해출장소  (5110500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원특별자치도 춘천시 (5111000000)","286,426","286,426","18,917","26,060","36,972","34,305","40,807","46,897","44,359","21,996","13,913","2,137","63","141,419","141,419","9,659","13,502","19,722","17,847","20,109","23,568","21,557","9,840","5,065","527","23","145,007","145,007","9,258","12,558","17,250","16,458","20,698","23,329","22,802","12,156","8,848","1,610","40"
"강원특별자치도 원주시 (5113000000)","361,503","361,503","25,618","34,679","42,306","45,545","55,623","62,537","54,711","23,940","14,305","2,184","55","179,115","179,115","13,104","17,793","22,492","23,354","27,502","31,111","27,149","10,983","5,122","494","11","182,388","182,388","12,514","16,886","19,814","22,191","28,121","31,426","27,562","12,957","9,183","1,690","44"
"강원특별자치도 강릉시 (5115000000)","209,439","209,439","11,413","17,380","22,654","20,358","29,591","36,506","37,188","20,886","11,534","1,869","60","103,759","103,759","5,887","9,145","12,429","10,889","14,894","18,645","17,853","9,391","4,217","400","9","105,680","105,680","5,526","8,235","10,225","9,469","14,697","17,861","19,335","11,495","7,317","1,469","51"
"강원특별자치도 동해시 (5117000000)","88,625","88,625","5,426","8,266","8,485","8,244","13,245","15,922","15,323","8,542","4,533","626","13","45,045","45,045","2,776","4,323","4,982","4,564","6,835","8,375","7,437","3,926","1,705","120","2","43,580","43,580","2,650","3,943","3,503","3,680","6,410","7,547","7,886","4,616","2,828","506","11"
"강원특별자치도 태백시 (5119000000)","38,702","38,702","1,823","3,385","3,053","2,844","5,531","6,860","7,641","4,877","2,441","239","8","19,476","19,476","958","1,757","1,767","1,534","2,904","3,690","3,833","2,116","875","40","2","19,226","19,226","865","1,628","1,286","1,310","2,627","3,170","3,808","2,761","1,566","199","6"
"강원특별자치도 속초시 (5121000000)","82,054","82,054","5,063","6,826","8,130","8,946","11,671","14,927","14,827","7,248","3,797","609","10","40,620","40,620","2,602","3,468","4,605","4,939","5,829","7,339","7,143","3,196","1,370","125","4","41,434","41,434","2,461","3,358","3,525","4,007","5,842","7,588","7,684","4,052","2,427","484","6"
"강원특별자치도 삼척시 (5123000000)","62,651","62,651","3,196","4,806","6,589","4,898","7,831","10,760","12,185","7,202","4,440","722","22","31,822","31,822","1,626","2,481","3,745","2,648","4,206","5,944","6,190","3,365","1,461","155","1","30,829","30,829","1,570","2,325","2,844","2,250","3,625","4,816","5,995","3,837","2,979","567","21"
"강원특별자치도 홍천군 (5172000000)","67,309","67,309","3,193","4,544","5,752","5,544","7,349","11,419","15,943","7,877","4,897","768","23","34,655","34,655","1,624","2,304","3,433","3,084","3,930","6,065","8,314","3,945","1,795","156","5","32,654","32,654","1,569","2,240","2,319","2,460","3,419","5,354","7,629","3,932","3,102","612","18"
"강원특별자치도 횡성군 (5173000000)","46,359","46,359","1,873","3,349","3,165","3,007","4,659","8,140","11,782","6,090","3,710","564","20","23,826","23,826","994","1,767","1,801","1,645","2,540","4,325","6,142","3,093","1,411","106","2","22,533","22,533","879","1,582","1,364","1,362","2,119","3,815","5,640","2,997","2,299","458","18"
"강원특별자치도 영월군 (5175000000)","37,332","37,332","1,420","2,576","2,799","2,368","4,034","6,788","8,875","5,008","3,034","420","10","19,318","19,318","751","1,447","1,587","1,291","2,148","3,736","4,765","2,407","1,088","95","3","18,014","18,014","669","1,129","1,212","1,077","1,886","3,052","4,110","2,601","1,946","325","7"
"강원특별자치도 평창군 (5176000000)","40,659","40,659","1,413","2,623","3,034","2,690","4,496","7,609","10,046","5,322","2,999","410","17","21,056","21,056","674","1,401","1,835","1,485","2,426","4,096","5,313","2,582","1,157","84","3","19,603","19,603","739","1,222","1,199","1,205","2,070","3,513","4,733","2,740","1,842","326","14"
"강원특별자치도 정선군 (5177000000)","34,202","34,202","1,315","2,239","2,291","2,316","4,174","6,336","8,139","4,449","2,575","350","18","17,844","17,844","653","1,144","1,349","1,304","2,361","3,606","4,353","2,065","929","74","6","16,358","16,358","662","1,095","942","1,012","1,813","2,730","3,786","2,384","1,646","276","12"
"강원특별자치도 철원군 (5178000000)","41,448","41,448","2,659","3,283","4,532","4,259","4,890","6,617","7,708","4,369","2,749","368","14","21,478","21,478","1,343","1,725","2,881","2,430","2,575","3,544","3,947","1,958","984","90","1","19,970","19,970","1,316","1,558","1,651","1,829","2,315","3,073","3,761","2,411","1,765","278","13"
"강원특별자치도 화천군 (5179000000)","23,007","23,007","1,459","1,618","2,928","2,595","2,347","3,616","4,339","2,191","1,677","223","14","12,321","12,321","764","807","1,940","1,562","1,252","1,921","2,379","1,023","605","62","6","10,686","10,686","695","811","988","1,033","1,095","1,695","1,960","1,168","1,072","161","8"
"강원특별자치도 양구군 (5180000000)","21,056","21,056","1,454","1,845","2,412","2,325","2,380","3,224","3,970","1,903","1,340","198","5","11,063","11,063","724","940","1,567","1,317","1,254","1,726","2,118","890","476","48","3","9,993","9,993","730","905","845","1,008","1,126","1,498","1,852","1,013","864","150","2"
"강원특별자치도 인제군 (5181000000)","32,020","32,020","2,289","2,287","3,888","3,898","3,906","4,846","6,119","2,770","1,735","271","11","17,422","17,422","1,171","1,158","2,670","2,296","2,121","2,632","3,286","1,383","637","63","5","14,598","14,598","1,118","1,129","1,218","1,602","1,785","2,214","2,833","1,387","1,098","208","6"
"강원특별자치도 고성군 (5182000000)","27,305","27,305","1,272","1,593","2,518","2,373","2,939","4,648","5,988","3,451","2,194","316","13","14,018","14,018","633","845","1,572","1,328","1,618","2,556","3,059","1,563","768","71","5","13,287","13,287","639","748","946","1,045","1,321","2,092","2,929","1,888","1,426","245","8"
"강원특별자치도 양양군 (5183000000)","27,710","27,710","1,069","1,694","2,102","2,079","3,346","4,861","6,180","3,755","2,262","348","14","14,192","14,192","520","928","1,262","1,175","1,806","2,606","3,182","1,769","878","65","1","13,518","13,518","549","766","840","904","1,540","2,255","2,998","1,986","1,384","283","13"
"충청북도  (4300000000)","1,593,469","1,593,469","103,333","144,446","181,676","187,761","230,702","272,450","257,982","128,433","75,249","11,181","256","810,448","810,448","52,921","74,720","100,616","102,774","119,606","140,085","130,480","60,151","26,651","2,404","40","783,021","783,021","50,412","69,726","81,060","84,987","111,096","132,365","127,502","68,282","48,598","8,777","216"
